id,username,email,phone,tier_rule_id,tier_code,point_balance,lifetime_spend,wash_count,created_at
85,tung1000,tung1000@fake.autowash.test,0344541412,1,MEMBER,10,100000.00,2,1692935379
86,khoa1001,khoa1001@fake.autowash.test,0986646191,2,SILVER,50,500000.00,9,1715878841
87,binh1002,binh1002@fake.autowash.test,0397033887,1,MEMBER,13,130000.00,3,1711802380
88,tien1003,tien1003@fake.autowash.test,0894060892,2,SILVER,51,510000.00,10,1704658228
89,ha1004,ha1004@fake.autowash.test,0371945956,2,SILVER,70,700000.00,15,1719965734
90,thanh1005,thanh1005@fake.autowash.test,0351110891,1,MEMBER,14,140000.00,4,1728912155
91,nam1006,nam1006@fake.autowash.test,0372228541,2,SILVER,60,600000.00,12,1689060925
92,tuan1007,tuan1007@fake.autowash.test,0357851693,1,MEMBER,16,160000.00,3,1729875029
93,huong1008,huong1008@fake.autowash.test,0325420647,1,MEMBER,16,160000.00,4,1715081403
94,ngan1009,ngan1009@fake.autowash.test,0982759746,1,MEMBER,42,420000.00,8,1728486505
95,binh1010,binh1010@fake.autowash.test,0345857230,2,SILVER,76,760000.00,13,1729582391
96,tien1011,tien1011@fake.autowash.test,0894004526,4,PLATINUM,307,3070000.00,42,1694676786
97,nhung1012,nhung1012@fake.autowash.test,0969482758,1,MEMBER,34,340000.00,6,1715248457
98,duc1013,duc1013@fake.autowash.test,0326961706,3,GOLD,269,2690000.00,38,1717330665
99,duy1014,duy1014@fake.autowash.test,0345791214,1,MEMBER,19,190000.00,5,1718923447
100,linh1015,linh1015@fake.autowash.test,0976082340,2,SILVER,132,1320000.00,20,1731707105
101,huy1016,huy1016@fake.autowash.test,0372520928,1,MEMBER,16,160000.00,4,1727382879
102,mai1017,mai1017@fake.autowash.test,0864727934,1,MEMBER,6,60000.00,2,1686428101
103,nam1018,nam1018@fake.autowash.test,0393753144,2,SILVER,134,1340000.00,22,1688690498
104,tung1019,tung1019@fake.autowash.test,0861399143,1,MEMBER,21,210000.00,5,1728498171
105,ha1020,ha1020@fake.autowash.test,0392975179,1,MEMBER,44,440000.00,9,1689747588
106,huy1021,huy1021@fake.autowash.test,0322493540,3,GOLD,161,1610000.00,25,1719503627
107,nam1022,nam1022@fake.autowash.test,0342887006,1,MEMBER,8,80000.00,2,1731756503
108,linh1023,linh1023@fake.autowash.test,0369551656,2,SILVER,63,630000.00,12,1732342168
109,ngan1024,ngan1024@fake.autowash.test,0966957092,2,SILVER,64,640000.00,13,1728869454
110,son1025,son1025@fake.autowash.test,0354186876,2,SILVER,54,540000.00,12,1719922897
111,mai1026,mai1026@fake.autowash.test,0375523054,1,MEMBER,6,60000.00,2,1726000994
