transaction_id,loyalty_account_id,customer_id,customer_name,tier,transaction_type,points,available_points,booking_id,booking_amount,booking_status,description,created_at
1364,148,148,"Tô Long",GOLD,EARN,5,5,1762,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-06-10 15:28"
1586,167,167,"Tô Phát",GOLD,EARN,5,5,2030,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-06-17 12:30"
1365,148,148,"Tô Long",GOLD,EARN,8,13,1763,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-06-17 13:45"
1366,148,148,"Tô Long",GOLD,EARN,8,21,1764,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-06-24 21:06"
1564,165,165,"Đinh Trang",SILVER,EARN,5,5,2006,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-06-26 21:59"
1367,148,148,"Tô Long",GOLD,EARN,8,29,1766,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-01 23:54"
1587,167,167,"Tô Phát",GOLD,EARN,8,13,2031,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-02 20:16"
1368,148,148,"Tô Long",GOLD,EARN,8,37,1767,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-08 19:17"
1128,128,128,"Nguyễn Hương",SILVER,EARN,8,8,1476,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-08 22:36"
1588,167,167,"Tô Phát",GOLD,EARN,8,21,2032,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-09 22:46"
1565,165,165,"Đinh Trang",SILVER,EARN,8,13,2007,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-15 22:02"
1369,148,148,"Tô Long",GOLD,EARN,5,42,1768,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-16 00:19"
1912,195,195,"Vũ Đức",GOLD,EARN,8,8,2435,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-16 00:19"
1129,128,128,"Nguyễn Hương",SILVER,EARN,5,13,1477,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-18 14:43"
1940,196,196,"Hoàng Nhung",SILVER,EARN,5,5,2464,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-20 15:24"
866,103,103,"Vũ Nam",SILVER,EARN,5,5,1140,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-22 12:29"
1371,148,148,"Tô Long",GOLD,EARN,3,53,1770,30000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-22 13:03"
2806,264,264,"Đinh Khánh",SILVER,EARN,8,8,3528,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-22 19:07"
1370,148,148,"Tô Long",GOLD,EARN,8,50,1769,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-22 22:07"
1372,148,148,"Tô Long",GOLD,EARN,8,61,1771,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-27 00:31"
1373,148,148,"Tô Long",GOLD,EARN,8,69,1772,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-29 12:38"
1437,150,150,"Võ Phát",SILVER,EARN,8,8,1845,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-29 13:19"
1167,132,132,"Ngô Thành",MEMBER,EARN,5,5,1523,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-29 14:40"
1589,167,167,"Tô Phát",GOLD,EARN,8,29,2033,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-29 17:37"
2807,264,264,"Đinh Khánh",SILVER,EARN,5,13,3529,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-07-30 00:04"
1566,165,165,"Đinh Trang",SILVER,EARN,8,21,2008,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-01 15:02"
1941,196,196,"Hoàng Nhung",SILVER,EARN,8,13,2465,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-05 12:41"
1130,128,128,"Nguyễn Hương",SILVER,EARN,5,18,1478,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-05 16:18"
1913,195,195,"Vũ Đức",GOLD,EARN,5,13,2436,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-05 21:45"
1037,120,120,"Võ Lan",SILVER,EARN,8,8,1363,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-06 00:59"
1374,148,148,"Tô Long",GOLD,EARN,8,77,1773,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-12 14:20"
2167,216,216,"Ngô Việt",SILVER,EARN,3,3,2741,30000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-12 16:01"
2497,238,238,"Ngô Trang",SILVER,EARN,8,8,3145,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-12 19:36"
2386,227,227,"Trần Quân",MEMBER,EARN,3,3,3004,30000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-12 22:03"
1567,165,165,"Đinh Trang",SILVER,EARN,8,29,2009,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-13 00:02"
1438,150,150,"Võ Phát",SILVER,EARN,5,13,1846,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-13 21:03"
2404,231,231,"Phạm Hương",GOLD,EARN,8,8,3036,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-16 13:24"
1914,195,195,"Vũ Đức",GOLD,EARN,5,18,2437,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-17 00:46"
1234,139,139,"Vũ Anh",MEMBER,EARN,5,5,1607,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-18 16:04"
2808,264,264,"Đinh Khánh",SILVER,EARN,5,18,3530,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-19 15:26"
1590,167,167,"Tô Phát",GOLD,EARN,8,37,2034,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-19 16:19"
1375,148,148,"Tô Long",GOLD,EARN,8,85,1775,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-19 22:32"
893,105,105,"Đinh Hà",MEMBER,EARN,8,8,1173,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-19 22:48"
1038,120,120,"Võ Lan",SILVER,EARN,5,13,1364,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-19 22:54"
2168,216,216,"Ngô Việt",SILVER,EARN,8,11,2742,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-20 17:13"
2405,231,231,"Phạm Hương",GOLD,EARN,8,16,3037,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-22 13:45"
1131,128,128,"Nguyễn Hương",SILVER,EARN,5,23,1479,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-23 20:26"
1568,165,165,"Đinh Trang",SILVER,EARN,8,37,2010,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-26 13:22"
1942,196,196,"Hoàng Nhung",SILVER,EARN,5,18,2466,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-26 22:08"
2054,203,203,"Vũ Huy",GOLD,EARN,8,8,2599,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-27 00:23"
867,103,103,"Vũ Nam",SILVER,EARN,8,13,1142,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-27 21:48"
1591,167,167,"Tô Phát",GOLD,EARN,5,42,2035,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-30 14:37"
1132,128,128,"Nguyễn Hương",SILVER,EARN,8,31,1480,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-08-30 20:02"
2169,216,216,"Ngô Việt",SILVER,EARN,5,16,2743,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-01 12:42"
1168,132,132,"Ngô Thành",MEMBER,EARN,8,13,1524,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-01 15:45"
894,105,105,"Đinh Hà",MEMBER,EARN,3,11,1174,30000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-01 22:34"
1235,139,139,"Vũ Anh",MEMBER,EARN,5,10,1608,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-02 13:52"
1569,165,165,"Đinh Trang",SILVER,EARN,8,45,2011,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-02 14:48"
2406,231,231,"Phạm Hương",GOLD,EARN,8,24,3038,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-02 16:08"
1376,148,148,"Tô Long",GOLD,EARN,8,93,1776,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-02 19:06"
2055,203,203,"Vũ Huy",GOLD,EARN,8,16,2600,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-02 22:20"
2056,203,203,"Vũ Huy",GOLD,EARN,8,24,2601,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-02 22:34"
1439,150,150,"Võ Phát",SILVER,EARN,8,21,1847,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-02 23:52"
1781,187,187,"Tô Dũng",PLATINUM,EARN,3,3,2280,30000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-03 13:37"
1915,195,195,"Vũ Đức",GOLD,EARN,8,26,2438,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-03 22:01"
1377,148,148,"Tô Long",GOLD,EARN,8,101,1777,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-05 22:10"
868,103,103,"Vũ Nam",SILVER,EARN,8,21,1143,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-08 13:44"
1133,128,128,"Nguyễn Hương",SILVER,EARN,8,39,1481,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-08 19:35"
2453,236,236,"Bùi Ngân",SILVER,EARN,8,8,3092,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-09 13:16"
2359,226,226,"Mai Linh",GOLD,EARN,5,5,2974,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-09 13:42"
2129,210,210,"Vũ Hương",SILVER,EARN,5,5,2688,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-10 00:00"
1570,165,165,"Đinh Trang",SILVER,EARN,8,53,2012,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-10 16:44"
2498,238,238,"Ngô Trang",SILVER,EARN,5,13,3146,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-11 18:49"
1943,196,196,"Hoàng Nhung",SILVER,EARN,8,26,2467,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-12 12:23"
2393,229,229,"Lý Minh",SILVER,EARN,5,5,3019,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-13 23:15"
709,91,91,"Bùi Nam",SILVER,EARN,5,5,954,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-14 20:16"
1592,167,167,"Tô Phát",GOLD,EARN,5,47,2036,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-16 16:07"
1378,148,148,"Tô Long",GOLD,EARN,8,109,1779,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-16 17:14"
2360,226,226,"Mai Linh",GOLD,EARN,5,10,2975,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-16 17:37"
1782,187,187,"Tô Dũng",PLATINUM,EARN,5,8,2281,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-16 18:30"
1958,198,198,"Võ Quân",SILVER,EARN,8,8,2488,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-16 21:46"
985,116,116,"Võ Duy",SILVER,EARN,8,8,1300,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-16 22:35"
2057,203,203,"Vũ Huy",GOLD,EARN,8,32,2602,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-16 23:23"
2901,271,271,"Lý Thảo",GOLD,EARN,8,8,3635,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-16 23:50"
1783,187,187,"Tô Dũng",PLATINUM,EARN,8,16,2282,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-17 00:00"
2407,231,231,"Phạm Hương",GOLD,EARN,8,32,3039,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-17 00:15"
1134,128,128,"Nguyễn Hương",SILVER,EARN,8,47,1482,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-19 13:04"
1613,169,169,"Dương Phát",MEMBER,EARN,3,3,2063,30000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-20 00:16"
1571,165,165,"Đinh Trang",SILVER,EARN,8,61,2013,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-20 23:57"
1784,187,187,"Tô Dũng",PLATINUM,EARN,8,24,2283,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-23 12:21"
750,96,96,"Nguyễn Tiến",PLATINUM,EARN,8,16,1004,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-23 16:41"
1169,132,132,"Ngô Thành",MEMBER,EARN,8,21,1525,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-23 18:22"
749,96,96,"Nguyễn Tiến",PLATINUM,EARN,8,8,1003,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-23 20:36"
2902,271,271,"Lý Thảo",GOLD,EARN,8,16,3636,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-23 20:45"
895,105,105,"Đinh Hà",MEMBER,EARN,5,16,1175,50000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-23 22:15"
1916,195,195,"Vũ Đức",GOLD,EARN,8,34,2439,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-24 00:26"
1039,120,120,"Võ Lan",SILVER,EARN,8,21,1366,80000.00,COMPLETED,"[fake] Tích điểm rửa xe","2023-09-24 00:43"
